,CD,Year,Month,dirty_level,Count311_pp,fs_openhours,trs_permits,total_number_of_households,hh_compost_percent,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,pct_bach_deg,over65_rate,under18_rate,pct_white_nh,poverty_rate,pct_hh_rent_burd,mean_commute,unemployment,crime_per_1000,pop_density,numbldgs,unitstotal,asland_sqft,pct_clean_strts,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_res_1_2_family_bldg,pct_lot_area_res_multifamily_walkup,REFUSETONSCOLLECTED_pp,PAPERTONSCOLLECTED_pp,MGPTONSCOLLECTED_pp,RESORGANICSTONS_pp,paper_baskets_sqmi,mgp_baskets_sqmi,seasonal_wire_litter_basket_sqmi,highend_basket_sqmi,publicspacereceptacle_sqmi,wire_basket_sqmi,total_litter_baskets_sqmi,fs_open_sqmi,restaurant_sqmi,business_sqmi
0,BK01,2016,11,2,0.0002888787460351392,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.030334579363657896,0.003049404043146929,0.0023272071780590813,9.764101615987705e-05,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,208.2243789946965
1,BK01,2016,12,1,0.00020799269714530023,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.031253791533541714,0.004196252664906432,0.0028945650352720947,6.759762657222257e-05,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,193.62327924811717
2,BK01,2017,1,2,0.000294656320955842,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.029985036080955377,0.0034035693857860103,0.0026299521039039073,8.608586631847148e-05,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,194.89294009564583
3,BK01,2017,2,2,0.00035243207016286983,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.02718580103187488,0.002921141879907328,0.002286764153614162,6.066453666737923e-05,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,185.58209388043582
4,BK01,2017,3,2,0.00038709751968708653,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.031642044568212936,0.0032527746803556676,0.0026189747115545722,6.12422941594495e-05,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,187.48658515172878
5,BK01,2017,4,3,0.0003986526695284921,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.029523407844791228,0.0033169057619754686,0.002500534425680165,0.0001467504029858507,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,189.81429670553126
6,BK01,2017,5,2,0.00038131994476638375,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.03247805965923863,0.0033689039362617937,0.002637462951300821,0.00030910025825759893,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,192.14200825933378
7,BK01,2017,6,3,0.00048531629333903385,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.031120329552873475,0.0034388125928022976,0.0028362115285729965,0.00038420873222673517,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,194.46971981313627
8,BK01,2017,7,3,0.0004737611434976283,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.025988687508305262,0.0028858986728910407,0.0025323110877440306,0.00030678922828931786,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,190.87234741180512
9,BK01,2017,8,3,0.00047953871841833107,333.25,14.0,92610,0.1052262174711154,1.0,3.0,3.0,47.0,9.3,24.0,61.3,15.4,40.7,34.3,4.0,10.9,36626.118078799846,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,0.026703373525996197,0.0030205161685434153,0.002735103967460698,0.0003241219530514262,1.9044912712929558,1.9044912712929558,0.0,0.42322028250954574,0.21161014125477287,2.116101412547729,2.9625419775668203,1.2696608475286373,45.91940065228572,194.68132995439106
