month,community_district,numbldgs,unitstotal,asland_sqft,pct_clean_strts,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_res_1_2_family_bldg,pct_lot_area_res_multifamily_walkup,restaurant,business
2016-11-01,MN01,1760,55988,79.28216106,100.0,4.35,31.68,0.17,0.63,3295,683
2016-11-01,MN02,5375,72165,100.3247531,98.7,3.55,9.63,4.47,10.26,1271,1013
2016-11-01,MN03,4708,94059,58.23680177,93.4,14.95,11.15,0.32,8.66,580,947
2016-11-01,MN04,3923,100090,105.4023865,100.0,2.81,11.75,0.88,7.68,964,1014
2016-11-01,MN05,3190,95425,516.0668245,100.0,1.59,6.49,0.09,0.67,270,2083
2016-11-01,MN06,3119,113073,200.0855857,97.3,3.29,16.3,1.78,4.6,2028,914
2016-11-01,MN07,4779,136570,114.7340333,100.0,19.14,10.24,2.16,10.88,1143,880
2016-11-01,MN08,6086,159585,178.8084465,98.4,2.42,13.79,5.67,9.17,965,1305
2016-11-01,MN09,2634,48590,24.39158809,97.3,15.52,23.27,2.43,10.64,205,371
2016-11-01,MN10,4849,63635,25.0963106,91.9,6.3,14.53,4.14,20.61,952,476
2016-11-01,MN11,3314,60777,17.09021499,96.5,42.54,10.63,0.36,5.08,328,538
2016-11-01,MN12,2921,76778,16.92662418,92.1,41.45,9.19,0.5,9.47,267,807
2016-11-01,QN01,4386,41918,6.707589221,86.0,6.48,10.61,5.77,7.42,87,503
2016-11-01,QN02,3283,21902,5.496919864,81.3,2.67,5.76,4.16,6.01,376,374
2016-11-01,QN03,3713,36803,7.527634527,83.7,20.85,12.42,10.23,12.41,618,292
2016-11-01,QN04,3387,57385,9.660092483,89.2,15.89,12.24,4.44,12.29,21,680
2016-11-01,QN05,3505,53388,9.995915302,89.1,6.7,15.95,11.95,16.63,259,606
2016-11-01,QN06,4575,35928,6.5366628,77.6,24.81,18.5,8.14,12.64,142,487
2016-11-01,QN07,4149,54899,10.30762568,83.0,7.31,21.5,9.48,14.65,239,550
2016-11-01,QN08,5542,46626,6.242401917,100.0,8.55,18.36,26.62,4.32,124,312
2016-11-01,QN09,13742,67092,5.398121557,87.9,12.89,6.34,21.49,13.91,28,636
2016-11-01,QN10,20518,52136,4.469869393,100.0,19.86,11.12,33.07,6.72,327,545
2016-11-01,QN11,15417,54969,6.212755599,100.0,0.71,17.12,39.36,8.51,173,621
2016-11-01,QN12,24965,57877,4.759780051,76.9,21.02,6.2,36.12,11.4,509,673
2016-11-01,BX01,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,217,984
2016-11-01,BX02,8792,92363,24.90996012,89.1,8.15,14.05,8.52,12.44,268,670
2016-11-01,BX03,17291,75550,7.386303189,80.1,3.58,11.83,24.01,27.9,310,667
2016-11-01,BX04,11669,45929,6.324433451,88.4,15.64,8.36,19.96,30.0,296,597
2016-11-01,BX05,23842,80991,7.760995776,98.8,12.88,7.57,26.48,10.95,192,890
2016-11-01,BX06,14401,60480,10.19918621,100.0,5.73,5.08,13.75,21.2,116,631
