NYC DEPARTMENT OF SANITATION PUBLIC SPACE RECYCLING SITE LIST,,,,,,,,,
SITE INFORMATION AND RECEPTACLE COUNT IS CURRENT AS OF THE FOLLOWING DATE,,,,,,,9/5/2018,,
,,,,,PUBLIC SPACE RECYCLING RECEPTACLE TOTAL (DSNY+PRIVATE),,2602,,
,,,,,PUBLIC SPACE RECYCLING RECEPTACLE TOTAL (DSNY ONLY),,2153,,
,,,,,PUBLIC SPACE RECYCLING PAPER RECEPTACLE TOTAL (DSNY ONLY),,1064,,
,,,,,PUBLIC SPACE RECYCLING MGP RECEPTACLE TOTAL (DSNY ONLY),,1089,,
,,,,,PRIVATE PUBLIC SPACE RECYCLING RECEPTACLES,,449,,
BOROUGH,,,,,"# DSNY RECEPTACLE SITES
(PRIVATE LOCATIONS NOT INCLUDED)",,# OF RECEPTACLES,,
MANHATTAN,,,,,241,,714,,
BRONX,,,,,50,,256,,
BROOKLYN NORTH,,,,,66,,194,,
BROOKLYN SOUTH,,,,,115,,307,,
QUEENS WEST,,,,,57,,152,,
QUEENS EAST,,,,,101,,267,,
STATEN ISLAND,,,,,74,,263,,
CITYWIDE TOTAL,,,,,704,,2153,,
,,,,,"Locations Highlighted in Yellow Are the ""New Style Silve Bullet"" Style Receptacles",,,,
,,,,,MANHATTAN DSNY PUBLIC SPACE RECYCLING SITES,,,,
,ZONE,DISTRICT,TYPE,STYLE,PLACED,SITE NAME/ BASKET LOCATION,PARTNER (IF ANY),P#A POEFR,#M OGFP
41,MAN,M02,PARK,NEW,2017,PIER 51,HUDSON RIVER PARK TRUST,0,1
42,MAN,M02,PARK,NEW,2017,PIER 57,HUDSON RIVER PARK TRUST,0,1
43,MAN,M02,PARK,OLD,2012,MAIN ENTRANCE,NYC PARKS - JJ WALKER PARK,1,1
46,MAN,M02,DISTRICT,NEW,2013,N/E/C BROADWAY/BROOME ST,N/A,1,1
47,MAN,M02,DISTRICT,NEW,2013,S/W/C BROADWAY/BROOME ST,N/A,1,1
48,MAN,M02,DISTRICT,NEW,2013,S/W/C BROADWAY/HOWARD ST,N/A,1,1
49,MAN,M02,PARK,OLD,2013,1 CLARKSON ST,NYC PARKS - TONY DAPOLITO RECREATION CENTER,1,1
50,MAN,M02,NON-PROFIT,NEW,2013,N/W WASHINGTON ST AND GANSEVOORT ST,FRIENDS OF THE HIGH LINE,1,1
52,MAN,M02,DISTRICT,NEW,2013,SW WEST 3RD AND BROADWAY,N/A,1,1
53,MAN,M02,DISTRICT,NEW,2013,NE WEST 3RD AND BROADWAY,N/A,1,1
54,MAN,M02,DISTRICT,NEW,2013,SW WEST 3RD AND MERCER,N/A,1,1
55,MAN,M02,DISTRICT,NEW,2013,NE WEST 3RD AND MERCER,N/A,1,1
56,MAN,M02,DISTRICT,NEW,2013,NW WEST 3RD AND LAGUARDIA PLACE,N/A,1,1
57,MAN,M02,DISTRICT,NEW,2013,NW WEST 3RD AND THOMPSON ST,N/A,1,1
58,MAN,M02,DISTRICT,NEW,2013,NE WEST 3RD AND THOMPSON ST,N/A,1,1
59,MAN,M02,DISTRICT,NEW,2013,NW WEST 3RD AND SULLIVAN ST,N/A,1,1
60,MAN,M02,DISTRICT,NEW,2013,NE WEST 3RD AND SULLIVAN ST,N/A,1,1
61,MAN,M02,DISTRICT,NEW,2013,SW WASHINGTON SQUARE WEST AND WASHINGTON SQUARE NORTH,N/A,1,1
62,MAN,M02,DISTRICT,NEW,2013,NE WASHINGTON SQUARE WEST AND WASHINGTON SQUARE NORTH,N/A,1,1
63,MAN,M02,DISTRICT,NEW,2013,SW WASHINGTON SQUARE WEST AND WASHINGTON PLACE,N/A,1,1
64,MAN,M02,DISTRICT,NEW,2013,NE WASHINGTON SQUARE WEST AND WASHINGTON PLACE,N/A,1,1
65,MAN,M02,DISTRICT,NEW,2013,SW WASHINGTON SQUARE WEST AND WEST 4TH ST,N/A,1,1
66,MAN,M02,DISTRICT,NEW,2013,NE WASHINGTON SQUARE WEST AND WEST 4TH ST,N/A,1,1
68,MAN,M02,DISTRICT,NEW,2013,SW LAFAYETTE STREET AND WEST 4TH ST,N/A,1,1
69,MAN,M02,DISTRICT,NEW,2013,NE LAFAYETTE STREET AND WEST 4TH ST,N/A,1,1
72,MAN,M02,DISTRICT,NEW,2013,SW WASHINGTON SQUARE NORTH AND UNIVERSITY PLACE,N/A,2,2
73,MAN,M02,DISTRICT,NEW,2013,NW WASHINGTON SQUARE NORTH AND BROADWAY,N/A,1,1
75,MAN,M02,DISTRICT,NEW,2013,N/W/C WAVERLY PLACE & GREENE ST.,N/A,1,1
76,MAN,M02,DISTRICT,NEW,2013,S/E/C/ WAVERLY PLACE & GREENE ST.,N/A,1,1
77,MAN,M02,DISTRICT,NEW,2013,N/E/C WAVERLY PLACE & MERCER ST.,N/A,1,1
78,MAN,M02,DISTRICT,NEW,2013,S/E/C WAVERLY PLACE & MERCER ST.,N/A,1,1
82,MAN,M04,PARK,NEW,2017,PIER 62 (GARDEN AREA),HUDSON RIVER PARK TRUST,0,1
83,MAN,M04,PARK,NEW,2017,PIER 62 (SKATE PARK),HUDSON RIVER PARK TRUST,0,1
84,MAN,M04,PARK,NEW,2017,14TH STREET PARK,HUDSON RIVER PARK TRUST,0,1
85,MAN,M04,PARK,NEW,2017,CHELSEA WATERSIDE PARK FIELD,HUDSON RIVER PARK TRUST,0,1
86,MAN,M04,PARK,NEW,2017,CHELSEA WATERSIDE PARK PLAYGROUND,HUDSON RIVER PARK TRUST,0,1
87,MAN,M04,PARK,NEW,2017,PIER 66 SEATING AREA,HUDSON RIVER PARK TRUST,0,1
88,MAN,M04,PARK,NEW,2017,PIER 84 (43RD ST BY BIKE SHOP),HUDSON RIVER PARK TRUST,0,1
89,MAN,M04,PARK,NEW,2017,PIER 84 (44TH ST PARK BUILDING),HUDSON RIVER PARK TRUST,0,1
90,MAN,M04,PARK,NEW,2017,PIER 95,HUDSON RIVER PARK TRUST,0,1
91,MAN,M04,PARK,OLD,2012,430 W. 25TH ST - CHELSEA RECREATION CENTER,NYC PARKS - CHELSEA RECREATION CENTER,1,1
92,MAN,M04,DISTRICT,NEW,2015,N/W/C 9TH AVE AND 34TH ST,N/A,1,1
93,MAN,M04,DISTRICT,NEW,2015,N/W/C 8TH AVE AND 36TH ST,N/A,1,1
94,MAN,M04,DISTRICT,NEW,2015,N/W/C 8TH AVE AND 37TH ST,N/A,1,1
95,MAN,M04,DISTRICT,NEW,2015,N/W/C 8TH AVE AND 38TH ST,N/A,1,1
96,MAN,M04,DISTRICT,NEW,2015,N/W/C 8TH AVE AND 39TH ST,N/A,1,1
97,MAN,M04,DISTRICT,NEW,2015,N/E/C 9TH AVE AND 48TH ST,N/A,1,1
98,MAN,M04,DISTRICT,NEW,2015,N/E/C 9TH AVE AND 49TH ST,N/A,1,1
99,MAN,M04,DISTRICT,NEW,2015,N/E/C 9TH AVE AND 51ST ST,N/A,1,1
