PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
QZ95,QZ95,Q,09,SSG PATBOUVIER E BOBBY ORTIZ T,,"HILLSIDE AV, METROPOLITAN AV, 129 ST","HILLSIDE AV, METROPOLITAN AV, 129 ST",0,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
RZ306,RZ306,R,02B,GREENSTREET,,Father Capodanno Blvd AND PARKING LOT EN,Father Capodanno Blvd AND PARKING LOT EN,0.003,Greenstreet,,0,,,,,DOT,,,,,0,,,
B497,B497,B,05,Warwick Block Association,,Warwick St. and Glenmore Ave.,Warwick St. and Glenmore Ave.,0,Small Park,Greenthumb,0,,,,,-,,,,,0,,,
X045,X045-ZN03,X,01,St. Mary's Park,,St Mary's St bet. St Ann's Av and Jackson Av,Hillside In Center Of Park,13.49,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
QZ171C,QZ171C,Q,01,Greenstreet,,81 St Bet 21 Av & 19 Ave  3,81 St Bet 21 Av & 19 Ave  3,0.021,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ74,QZ74,Q,09,Greenstreet,,Rockaway Blvd & 95 Av & 83 St,Rockaway Blvd & 95 Av & 83 St,0.032,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X102,X102,X,06,Ciccarone Park,,E 188 St bet. Arthur Av and Hughes Av,E 188 St bet. Arthur Av and Hughes Av,0.553,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
Q002,Q002,Q,05,Grover Cleveland Playground,,Stanhope St. bet. Fairvier Ave. and Grandview Ave.,Stanhope St. bet. Fairvier Ave. and Grandview Ave.,5.1,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
Q162I07,Q162I07,Q,14,PARK STRIP,,test,test,0,Small Park,Sitting Area/Triangle/Mall,0,do not rate,,,,DPR,,,,,0,,,
RZ102,RZ102,R,02B,GREENSTREET,,Fr Capodanno And Sand,Fr Capodanno And Sand,0.012,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
R157,R157,R,03,Sleight Family Graveyard,,Rossvile Ave. and Arthur Kill Rd.,Rossvile Ave. and Arthur Kill Rd.,0.231,Other,Cemetery,0,,,,,DPR,,,,,0,,,
BZ471,BZ471,B,06,Cough Triangle,,"Court St, Garnet St, and Hamilton Ave","Court St, Garnet St, and Hamilton Ave",0.118,Greenstreet,,0,,,,,DOT,,,,,0,,,
XZ24,XZ24,X,12,GREENSTREET,,East 221st St. And Needham Ave.,East 221st St. And Needham Ave.,0.063,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M203D,M203D,M,06,Mary O'Connor Playground,,E. 42 St. bet. 1 Ave. and 2 Ave.,E. 42 St. bet. 1 Ave. and 2 Ave.,0.229,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
XZ455,XZ455,X,04,W 170 st & Edward L Grant Hwy,,W 170 st & Edward L Grant Hwy,W 170 st & Edward L Grant Hwy,0.029,Greenstreet,,0,,,,,DOT,,,,,0,,,
B368,B368,B,13,The Cyclone,,W. 10 St. between Surf Ave. and Public Beach,W. 10 St. between Surf Ave. and Public Beach,1.17,Other,Concession,0,Beach,,,,DPR,,,,,0,,,
MZ20,MZ20,M,01,GREENSTREET,,Baxter St & Hogan Pl,Baxter St & Hogan Pl,0.071,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X206,X206,X,03,Morgan Playground,,E 168 St bet.  Park Av and Washington Av,E 168 St bet.  Park Av and Washington Av,0.782,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
BZ286,BZ286,B,14,GREENSTREET,,Amersfort Pl & Farragut Rd & East 26th St,Amersfort Pl & Farragut Rd & East 26th St,0.009,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ71,MZ71,M,08,GREENSTREET,,"E. 92nd St. & Fdr Drive West, York Ave","E. 92nd St. & Fdr Drive West, York Ave",0.029,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M058,M058-ZN01,M,11,Marcus Garvey Park,,"Madison Ave, E. 120 St. to E. 124 St.","124th St, Mt Morris Park West, 120th St Until 5th Ave, Not Including Hillside",7.081,Large Park,Large Park Zone,1,,,,,DPR,,,,,1,,,
QZ767,QZ767,Q,08,Greenstreet,,69 Av Bet 178 St & 179 St,69 Av Bet 178 St & 179 St,0.078,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ222,QZ222,Q,02,Greenstreet,,11 St Bet 47 Rd & 48 Av  north,11 St Bet 47 Rd & 48 Av  north,0.022,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ565,QZ565,Q,13,Greenstreet,,139 Av Bet 225 St & 226 St,139 Av Bet 225 St & 226 St,0.047,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
X034,X034-01,X,04,Mullaly Park,,Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave,E 164 St & Jerome Ave,0.168,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
QZ698,QZ698,Q,15,Greenstreet,,GCP (Westbound) & Perimeter Rd & Van Wyck Expwy Entrance,GCP (Westbound) & Perimeter Rd & Van Wyck Expwy Entrance,0.016,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
RZ316,RZ316,R,02,,,Hylan Bl & Midland Av,Hylan Bl & Midland Av,0.008,Greenstreet,,0,,,,,DOT,,,,,0,,,
X335,X335,X,07,Risse Street Park,,"Jerome Ave., Mosholu Pkwy, Grand Concour","Jerome Ave., Mosholu Pkwy, Grand Concour",0.806,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B512,B512,B,16,Hoparkinson R&L Block Association Garden,,Livonia Ave. bet. Hopkinson Ave. and Amboy St.,Livonia Ave. bet. Hopkinson Ave. and Amboy St.,0.104,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
M093,M093,M,05,Father Duffy Square,,"Broadway, W. 46 St. To W. 47 St., 7 Ave.","Broadway, W. 46 St. To W. 47 St., 7 Ave.",0.076,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
QZ1039,QZ1039,Q,03,Hinton Park Tracking Site,,37 Av & 114 St,37 Av & 114 St,0.234,,,0,,,,,,,,,,,,,
BZ167,BZ167,B,14,GREENSTREET,,Flatbush Ave btw E 26 St & E 26 St,Flatbush Ave btw E 26 St & E 26 St,0.011,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
Q001,Q001-ZN05,Q,07A,Alley Pond Park,,"Little Neck Bay to Springfield Blvd, Union Tpke","233th St, start Of Ralph Sloman Trail, Turtle Pond, start Of Nature Trail",64.487,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
BZ535,BZ535,B,16,,,Blake Av & Bristol St,Blake Av & Bristol St,0.033,Greenstreet,,0,overlaps with B008?,,,,DOT,,,,,0,,,
X034,X034,X,04,Mullaly Park,,Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave,Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave,15.049,Large Park,Large Park,0,Rated as separate zones,,,,DPR,,,,,0,,,
BZ228,BZ228,B,02,Greenstreet,,Concord St & Flatbush Ave Ext,Concord St & Flatbush Ave Ext,0.058,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QS050,QS050,Q,02,P.S. 199,,"48 Ave., 40 St., Greenpoint Ave.","48 Ave., 40 St., Greenpoint Ave.",0.644,,,0,,,,,DOE,,,,,0,,,
X272A,X272A,X,01,Wanaqua Garden,,E. 136 St. bet. Brown Pl. and Willis Ave.,E. 136 St. bet. Brown Pl. and Willis Ave.,0,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
QZ516,QZ516,Q,12,Greenstreet,,Merrick Bl Bet 108 Av & 109 Ave,Merrick Bl Bet 108 Av & 109 Ave,0.141,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
R085,R085,R,03,E.M.T. Christopher J. Prescott Playground,,Edith Ave. at Irvington St.,Edith Ave. at Irvington St.,1.124,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
MZ317,MZ317,M,04,GREENSTREET,,9th Ave And W 21st Street (south),9th Ave And W 21st Street (south),0.002,Greenstreet,,0,,,,,DOT,,,,,0,,,
B223DB,B223DB,B,02,Brooklyn Heights Promenade,,BQE bet. Joralemon St. and Grace Ct.,BQE bet. Joralemon St. and Grace Ct.,0.026,Small Park,Sitting Area/Triangle/Mall,0,,,,,DPR,,,,,0,,,
X056,X056,X,03,Park,,"E. 164 St., Boston Rd., 3 Ave.","E. 164 St., Boston Rd., 3 Ave.",0.06,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
XZ198,XZ198,X,03,Triangle,,Boston Rd & 164th St & 3rd Ave,Boston Rd & 164th St & 3rd Ave,0.048,Small Park,Sitting Area/Triangle/Mall,0,"Last rated in 2001, records changed to, and now rated under, X056. AB 1/9/14.",,,,DOT,,,,,0,,,
Q033,Q033,Q,07,Mall Eighteen,,18 Ave. bet. 126 St. and 127 St.,18 Ave. bet. 126 St. and 127 St.,0.09,Greenstreet,Type 1,1,,,,,DPR,,,,,0,,,
X010,X010-ZN10,X,03,Crotona Park,,"Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","Crotona Pk North, Fulton Ave, Crotona Ave, N And E Of Crotona Pool",16.652,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
M319B,M319B,M,09,Edgecombe Park,,Edgecombe Ave. and W. 150 St.,Edgecombe Ave. and W. 150 St.,0.112,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
BZ536,BZ536,B,16,,,Strauss St & Dumont Av,Strauss St & Dumont Av,0.066,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ285,QZ285,Q,04,Greenstreet,,111 St Bet 46 Av & 47 Ave,111 St Bet 46 Av & 47 Ave,0.077,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ325,MZ325,M,03,GREENSTREET,,Grand St & Bialystoker Pl (east),Grand St & Bialystoker Pl (east),0.009,Greenstreet,,0,,,,,DOT,,,,,0,,,
RZ69,RZ69,R,03,GREENSTREET,,Carlton And Jefferson,Carlton And Jefferson,0.117,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M077,M077-ZN01,M,09,St. Nicholas Park,,"St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St.",128 To 135 Sts/St. Nicholas Ave To Upper Path,8.348,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
QZ669,QZ669,Q,14,Greenstreet,,Hicksville Rd & B6 St,Hicksville Rd & B6 St,0.06,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ879,QZ879,Q,08,Greenstreet,,75 Av Bet 185 St & 184 St,75 Av Bet 185 St & 184 St,0.048,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q358,Q358,Q,13,Detective William T. Gunn Playground,,235 Ct. bet. Hillside Ave. and 87 Ave.,235 Ct. bet. Hillside Ave. and 87 Ave.,2.719,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
QZ283,QZ283,Q,03,Greenstreet,,100 St & Kearny St & 27 Av,100 St & Kearny St & 27 Av,0.026,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B210O,B210O,B,10,Park,,N/B Gowanus Exwy. bet. 65 St. and 66 St.,N/B Gowanus Exwy. bet. 65 St. and 66 St.,0.006,Other,EXWY,0,EXWY,,,,DPR,,,,,0,,,
Q393F,Q393F,Q,03,LaGuardia Landing Lights,,Astoria Blvd. bet. 81 St. and 82 St.,Astoria Blvd. bet. 81 St. and 82 St.,0.249,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
XZ460,XZ460,X,13,,,W gun hill Rd & mosholu py w triangle,W gun hill Rd & mosholu py w triangle,0.036,Greenstreet,,0,overlap with X092,,,,DOT,,,,,0,,,
QD08,QD08,Q,01,QUEENS WEST COMMUNITY PARK,,5TH STREET & 48TH AVENUE,5TH STREET & 48TH AVENUE,0,Restrictive Declaration Site,,0,NOT Restrictive Declaration Site?,,,,DPR,,,,,0,,,
M010,M010-151,M,13,Central Park,,"5 Av To Central Park W, 59 St To 110 St","84 St, W/o East Drive",0.693,Small Park,Plgd Within Park,0,"As of FY20, rated with large park.",,,,DPR,,,,,0,,,
RZ017A,RZ017A,R,02,GREENSTREET,,Quintard And Cameron,Quintard And Cameron,0.173,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
RZ242,RZ242,R,01,Greenstreet,,Castleton Ave & Jewett Ave (levy Park),Castleton Ave & Jewett Ave (levy Park),0.082,Greenstreet,Type 1,0,overlaps with Levy Plgd,,,,DOT,,,,,0,,,
BZ587,BZ587,B,02,,,Lafayette Ave. between St. James Pl. and Grand Ave.,Lafayette Ave. between St. James Pl. and Grand Ave.,0.135,Greenstreet,Type 1 Greenstreet,0,,,,,DOT,,,,,0,,,
QZ541,QZ541,Q,13,Greenstreet,,137 Av Bet 231 St & 232 St,137 Av Bet 231 St & 232 St,0.047,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BZ258,BZ258,B,05,GREENSTREET,,Jamaica Ave btw Georgia Ave & Sheffield Ave,Jamaica Ave btw Georgia Ave & Sheffield Ave,0.078,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
RS016,RS016,R,03,I.S. 34,,Pittsville Ave. bet.ween Yetman Ave. and Brighton St.,Pittsville Ave. bet.ween Yetman Ave. and Brighton St.,1.784,Small Park,DOE Plgd,0,,,,,DOE,,,,,0,,,
MZ274,MZ274,M,11,GREENSTREET,,Fdr Drive West Lane Bet. E 100 St And E 102 St,Fdr Drive West Lane Bet. E 100 St And E 102 St,0.005,Greenstreet,,0,,,,,DOT,,,,,0,,,
X119,X119,X,01,Alexander's Alley,,E. 141 St. bet. Willis Ave. and Alexander Ave.,E. 141 St. bet. Willis Ave. and Alexander Ave.,0.11,Small Park,Neighborhood Park,1,,,,,DPR,,,,,0,,,
M063,MR-10,M,07,Gertrude Ederle Recreation Center & Playground CS,,232 West 60th Street,232 West 60th Street,,Small Center,Recreation Center,1,,,,,DPR,,,,,0,,,
RZ311,RZ311,R,03,,,Woodrow Rd & Arthur Kills Rd,Woodrow Rd & Arthur Kills Rd,0.105,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ812,QZ812,Q,07,Plaunt Triangle,,Northern Bl 169 & 170 Sts 43 Av,Northern Bl 169 & 170 Sts 43 Av,0.465,Greenstreet,,0,,,,,DOT,,,,,0,,,
B169,B169-ZN02A,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",Coney Island Ave To B 5th St,7.802,Large Park,Beach Zone,1,,,,,DPR,,,,,1,,,
QZ588,QZ588,Q,13,Greenstreet,,239 St Bet Hillside Av  & 87 Ave  4,239 St Bet Hillside Av  & 87 Ave  4,0.042,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
R100,R100,R,03,Drumgoole Tot Lot,,"Drumgoole Rd. W., Grantwood Ave., Carlton Ave., Rathbun Ave.","Drumgoole Rd. W., Grantwood Ave., Carlton Ave., Rathbun Ave.",0.636,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
QZ45,QZ45,Q,06,Plaza 67,,Austin St & 67 Av,Austin St & 67 Av,0.12,Small Park,Sitting Area/Triangle/Mall,0,Rated as QT09,,,,DOT,,,,,0,,,
X002,X002-14o,X,11,Bronx Park,,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",BRONX RIVER PKWY & ROSEWOOD ST,0,Small Park,Plgd Within Park,0,District switch,,,,DPR,,,,,0,,,
XZ200,XZ200,X,04,GREENSTREET,,Grand Concourse And East 165th St.,Grand Concourse And East 165th St.,0.002,Greenstreet,Type 1,0,Not currently maintained by parks 12/10/09,,,,DOT,,,,,0,,,
QZ881,QZ881,Q,08,Greenstreet,,75 Av Bet 183 St & 182 St,75 Av Bet 183 St & 182 St,0.05,Greenstreet,,0,,,,,DOT,,,,,0,,,
QZ894,QZ894,Q,08,Greenstreet,,Midland Pkwy bet Wexford Terr & Dalny Rd,Midland Pkwy bet Wexford Terr & Dalny Rd,0.01,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q008,Q008-02,Q,13,Brookville Park,,"S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.","Brookville Blvd, 144 Ave &  Caney Rd.",0.295,Small Park,Plgd Within Park,1,,,,,DPR,,,,,1,,,
B483,B483,B,05,Manley's Pl,,Montauk Ave. and Pitkin Ave.,Montauk Ave. and Pitkin Ave.,0.28,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
Q220F,Q220F,Q,09,Maple Grove Park,,Hoover Ave. bet. Queens Blvd. and 132 St.,Hoover Ave. bet. Queens Blvd. and 132 St.,1.5,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
