PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
M104,M104-ZN04,M,11R,Randall's Island Park,,East River and Harlem River,"S Of Ballfields, West Of Sunken Meadow And DEP Plant, N Of Odyssey House Complex",50.471,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
B443,B443,B,05,Atkins Gardeners,,Atkins Ave. between Belmont Ave. and Pitkin Ave.,Atkins Ave. between Belmont Ave. and Pitkin Ave.,0.068,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B222,B222,B,02,Pierrepont Playground,,"bet. Pierrepont Pl., Pierrepont St. and the BQE","bet. Pierrepont Pl., Pierrepont St. and the BQE",0.503,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ106,QZ106,Q,13,Greenstreet,,121 AV & 233 ST,121 AV & 233 ST,0.033,Greenstreet,Type 1,0,"Just trees (type 2), retired. Inspectors mistakenly rating QZ600 5/27/14 AB.",,,,DOT,,,,,0,,,
XZ503,XZ503,X,06,GREENSTREET,,Oak Tree Place and Hughes Avenue,Oak Tree Place and Hughes Avenue,0.004,Greenstreet,,0,,,,,DOT,,,,,0,,,
X034,X034-ZN02,X,04,Mullaly Park,,Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave,"McClellan St, E165 St, Jerome Ave, River Ave",10.093,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
B169,B169-ZN07A,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",W 25th St To W 29th St,9.605,Large Park,Beach Zone,1,,,,,DPR,,,,,1,,,
XS021,XS021,X,09,I.S. 123,,Watson Ave. bet.ween Stratford Ave. and Morrison Ave.,Watson Ave. bet.ween Stratford Ave. and Morrison Ave.,0.73,,,0,,,,,DOE,,,,,0,,,
X147A,X147A-ZN01,X,14,Starlight Park,,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.","E 172 To Bridge N/o E 174 Sts, Sheridan Exwy, Bronx River",7.343,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
B169,B169-ZN01A,B,13,Coney Island Beach & Boardwalk,,"Corbin Pl. to W. 37 St., Boardwalk",Corbin Pl To Seacoast Ter,6.55,Large Park,Beach Zone,1,,,,,DPR,,,,,0,,,
B102,B102,B,02,Crispus Attucks Playground,,Classon Ave. bet. Fulton St. and Lefferts Pl.,Classon Ave. bet. Fulton St. and Lefferts Pl.,0.934,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ395,QZ395,Q,08,Greenstreet,,Main St Bet Jewel Av & 70 Rd (2),Main St Bet Jewel Av & 70 Rd (2),0.109,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
X187,X187-01,X,12,Givan Square,,E. Gunhill Rd. and Eastchester Rd. bet. Arnow Ave. and Adee Ave..,"E Gun Hill & Eastchester Rds, Arnow Ave, O'Neill Pl",1.844,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
BZ65,BZ65,B,01,GREENSTREET,,Williamsburg Pl West & Kent Avenue,Williamsburg Pl West & Kent Avenue,0.047,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B150,B150,B,14,Kolbert Playground,,Ave. L bet. E. 17 St. and E. 18 St.,Ave. L bet. E. 17 St. and E. 18 St.,1.581,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
QZ944,QZ944,Q,04,Corona Plaza,,Roosevelt & National Avs,Roosevelt & National Avs,0.104,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q108,Q108,Q,13,Laurelton Playground,,Brookville Blvd. bet. 136 Ave. 137 Ave.,Brookville Blvd. bet. 136 Ave. 137 Ave.,1.785,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
RS017,RS017,R,03,P.S. 4,,End of Nedra Lane at Arden Ave.,End of Nedra Lane at Arden Ave.,0.816,,,0,,,,,DOE,,,,,0,,,
RZ40,RZ40,R,02,GREENSTREET,,Clove And Emerson,Clove And Emerson,0.023,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ282,MZ282,M,01,GREENSTREET,,Centre St / Park Row & Brooklyn Bridge Approach,Centre St / Park Row & Brooklyn Bridge Approach,0.065,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X116,X116,X,02,Rev J Polite Playground,,Rev James Polite Av to Interval Av bet. E 167 St and Home St,Rev James Polite Av to Interval Av bet. E 167 St and Home St,1.815,Small Park,JOP,1,,,,,DPR,,,,,1,,,
B037,B037,B,04,Freedom Triangle,,"Bushwick Ave., Myrtle Ave., Willoughby Ave.","Bushwick Ave., Myrtle Ave., Willoughby Ave.",0.004,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
RZ115,RZ115,R,02,GREENSTREET,,Shore Expressway Entrance And Glen,Shore Expressway Entrance And Glen,0.039,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ361,MZ361,M,05,Greenstreet,,Broadway & W 56 St N side,Broadway & W 56 St N side,0.005,Greenstreet,,0,,,,,DOT,,,,,0,,,
QS030,QS030,Q,09,P.S. 90,,108 St. to 109 St. bet.ween 86 Ave. and Jamaica Ave.,108 St. to 109 St. bet.ween 86 Ave. and Jamaica Ave.,0.29,,,0,,,,,DOE,,,,,0,,,
Q099,Q099-15,Q,15,Flushing Meadows Corona Park,,"Grand Central Pkwy, Van Wyck Exwy",Jewel Ave & Van Wyck Exwy,2.145,Small Park,Plgd Within Park,1,,,,,DPR,,,,,1,,,
XS012,XS012,X,09,P.S. 138,,"Lafayette Ave., Virgil Pl., Olmstead Ave., and Pugsley Ave.","Lafayette Ave., Virgil Pl., Olmstead Ave., and Pugsley Ave.",0.509,,,0,,,,,DOE,,,,,0,,,
BZ568,BZ568,B,18,John P. Salogub Greenstreet,,Paerdegat Ave N & E 77th St,Paerdegat Ave N & E 77th St,0.078,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q164,Q164-ZN11B,Q,14,Rockaway Beach,,Atlantic Ocean bet. B. 149 St. and B. 126 St.,Btwn 142nd And 146th St,7.316,Large Park,Beach Zone,1,,,,,DPR,,,,,0,,,
M010,M010-ZN41,M,13,Central Park,,"5 Av To Central Park W, 59 St To 110 St","East Drive, Southern Path, Conservancy Garden, Harlem Meer",13.054,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
B575,B575,B,03,Halsey Garden,,Halsey St. bet. Marcus Garvey Blvd. and Lewis Ave.,Halsey St. bet. Marcus Garvey Blvd. and Lewis Ave.,0.121,,,0,,,,,DPR,,,,,,,,
M321A,M321A,M,03,OPEN ROAD GARDEN,,404-16 E. 12th Street,404-16 E. 12th Street,0,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
Q162D,Q162D,Q,14,Park,,Roackaway Boardwalk bet. B 63 St. and B 62 St.,Roackaway Boardwalk bet. B 63 St. and B 62 St.,0,Other,Parking Lot,0,Beach,,,,-,,,,,0,,,
QZ517,QZ517,Q,12,Greenstreet,,Merrick Blvd bet. 110 av & 111 Av (median),Merrick Blvd bet. 110 av & 111 Av (median),0.189,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
R148,R148,R,02B,Last Chance Pond Park,,"Zoe St., Husson St., Naughton Ave., Seaver Ave.","Zoe St., Husson St., Naughton Ave., Seaver Ave.",3.903,Small Park,Undeveloped,0,,,,,DPR,,,,,0,,,
XZ206,XZ206,X,08,Siren Slope,,Bailey Ave & 230th St,Bailey Ave & 230th St,0.264,Greenstreet,Type 1,0,Rated as X150G,,,,DOT,,,,,0,,,
Q360P,Q360P,Q,05,Park Slope,,Behind overpass at 61 St. and Borden Ave.,Behind overpass at 61 St. and Borden Ave.,0.005,Small Park,Sitting Area/Triangle/Mall,0,Per parklands it is only a 1' strip on two sides of site. SD 3/9/10.,,,,DPR,,,,,0,,,
M325A,M325A,M,03,La Casita Garden,,E. 8 St. bet. Ave B and Ave. C,E. 8 St. bet. Ave B and Ave. C,0.08,,,0,,,,,DPR,,,,,0,,,
Q220E,Q220E,Q,12,Playground One Forty,,"Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 120 Ave. and Rockaway Blvd.","Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 120 Ave. and Rockaway Blvd.",1.37,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
QZ947,QZ947,Q,07,Greenstreet,,Northern Blvd & Roosevelt Av & 155 St,Northern Blvd & Roosevelt Av & 155 St,0.165,Greenstreet,,0,,,,,DOT,,,,,0,,,
B029,B029-ZN03,B,08,Eastern Parkway,,Eastern Pkwy. bet. Grand Army Plaza and Ralph Ave.,"Bedford Ave, New York Ave",3.235,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
XZ461,XZ461,X,07,,,Mosholu Pkwy South at 204 St,Mosholu Pkwy South at 204 St,0.006,Greenstreet,,0,,,,,DOT,,,,,0,,,
Q004,Q004-ZN03,Q,01,Astoria Park,,19 St. bet. Astoria Park S. and Ditmars Blvd.,From Curved Pathway Just S/o Hell Gate Bridge To Ditmars Blvd,8.675,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
B476,B476,B,16,Sh'ma Yisrael,,Pacific St. between Saratoga Ave. and Hopkinson Ave.,Pacific St. between Saratoga Ave. and Hopkinson Ave.,0.145,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
BZ241,BZ241,B,18,GREENSTREET,,Kings Highway & Preston Ct (N),Kings Highway & Preston Ct (N),0.01,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X195C,X195C,X,05,Park,,N/B and S/B Bruckner Blvd bet. Brinsmade Av and Swinton Av,N/B and S/B Bruckner Blvd bet. Brinsmade Av and Swinton Av,0.007,,,0,,,,,DPR,,,,,0,,,
QZ19,QZ19,Q,08,Greenstreet,,"Main St Vleigh Pl 72nd Dr, & 72 Road","Main St Vleigh Pl 72nd Dr, & 72 Road",0.136,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X340,X340,X,03,CS 134 Community Improvement Garden,,Bristow St bet. Jennings St and Freeman St,Bristow St bet. Jennings St and Freeman St,0.16,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
MZ259,MZ259,M,05,Greenstreet,,Park Ave South Bet. E 31 & E 32 Sts,Park Ave South Bet. E 31 & E 32 Sts,0.023,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
XZ402,XZ402,X,12,O'neida Triangle/rita Ley Triangle,,"E 238 St, Oneida Ave, Van Cortlandt Pk E","E 238 St, Oneida Ave, Van Cortlandt Pk E",0.105,Greenstreet,,0,,,,,DOT,,,,,0,,,
BZ145,BZ145,B,13,GREENSTREET,,Ocean Pkwy Median at Shore Pkwy (N),Ocean Pkwy Median at Shore Pkwy (N),0.061,Greenstreet,Type 1,0,,,,,DOT,,,,,0,,,
X214,X214,X,12,Magenta Playground,,Olinville Ave. at Rosewood St.,Olinville Ave. at Rosewood St.,1.205,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
X176,X176,X,09,Taylor Playground,,Guerlain St. bet. Taylor Ave. and Thieriot Ave.,Guerlain St. bet. Taylor Ave. and Thieriot Ave.,1.578,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
QT22,QT22,Q,14,Arvene East,,Edgemere Ave. bet. B. 56 Pl. and B. 44 St.,Edgemere Ave. bet. B. 56 Pl. and B. 44 St.,,,,0,,,,,HPD,,,,,,,,
BZ275,BZ275,B,18,GREENSTREET,,"Ave L, Troy Ave, East 41 St","Ave L, Troy Ave, East 41 St",0.039,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
RZ38,RZ38,R,03,GREENSTREET,,Ionia And Drumgoole,Ionia And Drumgoole,0.053,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M356,M356,M,10,P.S. 76 Garden,,W. 120 St. bet. Adam Clayton Powell Blvd. and St Nicholas Ave.,W. 120 St. bet. Adam Clayton Powell Blvd. and St Nicholas Ave.,0.053,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
Q162,Q162-ZN09,Q,14,Rockaway Beach and Boardwalk,,Lands underwater bet. B. 2 St. and B. 73 St.,BTWN 62nd AND 67th ST.,0,Large Park,Beach Zone,0,Retired. Rated as Q162-ZN04B,,,,DPR,,,,,0,,,
Q298,Q298,Q,01,Paul Raimonda Playground,,20 Ave. bet. 47 St. and 48 St.,20 Ave. bet. 47 St. and 48 St.,1.31,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
X041,X041,X,01,Pulaski Park,,Bruckner Blvd. bet. Willis Ave. and Brown Pl.,Bruckner Blvd. bet. Willis Ave. and Brown Pl.,1.45,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
QZ131,QZ131,Q,10,Greenstreet,,North Conduit Av  & 149 Av & 127 St,North Conduit Av  & 149 Av & 127 St,0.057,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ773,QZ773,Q,08,Greenstreet,,69 Av Bet 181 St & 182 St  east,69 Av Bet 181 St & 182 St  east,0.026,Greenstreet,,0,,,,,DOT,,,,,0,,,
B499,B499,B,03,Madison Community Greenthumb,,Madison St. between Ralph Ave. and Howard Ave.,Madison St. between Ralph Ave. and Howard Ave.,0.057,Small Park,Greenthumb,0,,,,,DPR,,,,,0,,,
B176,B176,B,18,Trust Triangle,,"Flatbush Ave., Schenctady Ave., Ave. O","Flatbush Ave., Schenctady Ave., Ave. O",0.078,Greenstreet,Type 1,1,,,,,DPR,,,,,0,,,
M028,M028-03,M,14,Fort Washington Park,,"Riverside Dr., Hudson River, W. 155 St. to Dyckman St.","Within Zone 1A, Along Hudson River At Approximately W 163 St",0.565,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
XZ123,XZ123,X,07,GREENSTREET,,St. George's Crescent And Van Cortlandt,St. George's Crescent And Van Cortlandt,0.049,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
M203C,M203C,M,06,Dag Hammarskjold Plaza,,E. 47 St. bet. 1 Ave. and 2 Ave.,E. 47 St. bet. 1 Ave. and 2 Ave.,1.59,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
B255G,B255G,B,07,Butterfly Gardens,,7 Ave. bet. 18 St. and 17 St.,7 Ave. bet. 18 St. and 17 St.,0.442,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
B417,B417,B,05,P.S. 4 Paradise Garden,,Glenmore Ave. between Ashford St. and Cleveland St.,Glenmore Ave. between Ashford St. and Cleveland St.,0.3,Small Park,Greenthumb,0,Greenthumb,,,,DPR,,,,,0,,,
X002,X002-05A,X,14,Bronx Park,,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Waring Ave, Bronx Pk E",0.62,Small Park,Plgd Within Park,1,,,,,DPR,,,,,1,,,
B223F,B223F,B,02,Squibb Park,,Middagh St. between Columbia Heights & Furman St.,Middagh St. between Columbia Heights & Furman St.,0.626,Small Park,Neighborhood Park,0,Pending,,,,DPR,,,,,1,,,
QZ241,QZ241,Q,03,Greenstreet,,23 Av Bet 94 St & 95 St,23 Av Bet 94 St & 95 St,0.035,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
MZ152,MZ152,M,10,GREENSTREET,,Lenox Ave Bet W 118 St And W 119 St,Lenox Ave Bet W 118 St And W 119 St,0.071,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
X010,X010-ZN02,X,03,Crotona Park,,"Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","N Of Claremont Pkwy, E Of Crotona Ave, S Of Tennis Courts And Lake",11.808,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
MZ81,MZ81,M,14,Greenstreet,,Riverside Dr North & Riverside Dr South,Riverside Dr North & Riverside Dr South,0.086,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
RZ061K,RZ061K,R,02,GREENSTREET,,Seaview Bet. Olympia And Patterson,Seaview Bet. Olympia And Patterson,0.195,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
B040-02,B040-02,B,19,Greenstreet,,"Grand Army Plaza, WNW island in group north of center monument","Grand Army Plaza, WNW island in group north of center monument",0.03,Greenstreet,Type 1,0,"Rated as part of Prospect Park, zone 29",,,,DOT,,,,,0,,,
XZ310,XZ310,X,04,GREENSTREET,,"Sedgwick Ave, Undercliff Av, High Bridge","Sedgwick Ave, Undercliff Av, High Bridge",0.099,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B082,B082-ZN05,B,10,Shore Park and Parkway,,"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge","92nd St To 4 Ave - Lower Half, By Expressway",18.833,Large Park,Large Park Zone,1,,,,,DPR,,,,,1,,,
B126,B126-ZN07,B,06,Red Hook Recreation Area,,"Halleck St., Bush St. bet. Otsego St. and Court St.","Btw Clinton & Court, N Of Bay, South Of Building And Fence",2.875,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
BZ86,BZ86,B,11,GREENSTREET,,Bay Parkway & Kings Highway At 78th St,Bay Parkway & Kings Highway At 78th St,0.026,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
B210S,B210S,B,10,Park,,S/B Gowanus Exwy. bet. 85 St. and 86 St.,S/B Gowanus Exwy. bet. 85 St. and 86 St.,0.004,Other,EXWY,0,EXWY,,,,DPR,,,,,0,,,
QZ854,QZ854,Q,11,Greenstreet,,42 Avnue & 204 St,42 Avnue & 204 St,0.089,Greenstreet,,0,,,,,DOT,,,,,0,,,
X231,X231-01,X,02,BRYANT PLGD,,"BRYANT AVE,  SENECA STREET","BRYANT AVE,  SENECA STREET",0,Small Park,Undeveloped,0,EMPTY LOT USED AS COMMUNITY GARGEN. 4/02 -AT,,,,DPR,,,,,0,,,
B282,B282,B,10,Patrick O'Rourke Playground,,"80 St. To 81 St., 11 Ave. To 12 Ave.","80 St. To 81 St., 11 Ave. To 12 Ave.",1.23,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
Q360G,Q360G,Q,05,Whitefish Triangle,,"55 Dr., Hamilton Pl., Perry Ave.","55 Dr., Hamilton Pl., Perry Ave.",0.185,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
BZ489,BZ489,B,02,GREENSTREET,,Carlton Av Bet. Myrtle Av & Park Av (1),Carlton Av Bet. Myrtle Av & Park Av (1),0.162,Greenstreet,Type 2 Greenstreet,0,,,,,DOT,,,,,0,,,
Q334,Q334,Q,07,Playground Twenty One,,166 St. bet. 21 Rd. and 21 Ave.,166 St. bet. 21 Rd. and 21 Ave.,1.439,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
Q348,Q348,Q,06,Willow Lake Playground,,72 Ave. bet. 112 St. and Grand Central Parkway,72 Ave. bet. 112 St. and Grand Central Parkway,1.277,Small Park,JOP,1,,,,,DPR/DOE,,,,,1,,,
B198,B198,B,18,Kings Highway Malls,,Kings Highway between 25 St. and 98 St.,Kings Highway between 25 St. and 98 St.,0,Small Park,Sitting Area/Triangle/Mall,0,Malls (not Parks property),,,,-,,,,,0,,,
B032,B032-02,B,02,Fort Greene Park,,"Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St.",DeKalb Ave & Washington Pk,0.133,Small Park,Plgd Within Park,1,,,,,DPR,,,,,0,,,
QZ307,QZ307,Q,05,Greenstreet,,Woodhaven Blvd (northbound) Bet. 81 Rd & Union Tpke   (1),Woodhaven Blvd (northbound) Bet. 81 Rd & Union Tpke   (1),0.039,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
M241,M241,M,03,Nathan Straus Playground,,Rivington St. and Attorney St. bet. Clinton St. and Ridge St.,Rivington St. and Attorney St. bet. Clinton St. and Ridge St.,0.851,Small Park,JOP,1,,,,,DPR/DOE,,,,,0,,,
MZ142,MZ142,M,07,Broadway Malls,,Broadway Malls Bet. 62 St. & 63 St.,Broadway Malls Bet. 62 St. & 63 St.,0.115,Greenstreet,Type 1,0,Replaced by LP zone.,,,,DOT,,,,,0,,,
QZ697,QZ697,Q,15,Greenstreet,,Perimeter Rd & Gcp  westbound  Exit 9p,Perimeter Rd & Gcp  westbound  Exit 9p,0.003,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ97,BZ97,B,14,GREENSTREET,,Bedford Blvd & Caton Ave & Linden Blvd,Bedford Blvd & Caton Ave & Linden Blvd,0.072,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X095,X095o,X,12,Williamsbridge Square,,White Plains Rd. bet. E. 212 St. and Magenta St.,White Plains Rd. bet. E. 212 St. and Magenta St.,1.395,Small Park,Sitting Area/Triangle/Mall,0,District switch,,,,DPR,,,,,0,,,
BS042,BS042,B,11,I.S. 227,,"65 St., 66 St., 15 Ave., and 16 Ave.","65 St., 66 St., 15 Ave., and 16 Ave.",0.658,,,0,,,,,DOE,,,,,0,,,
BZ82,BZ82,B,06,GREENSTREET,,Dwight St. Bet. Columbia St. And Delevan st,Dwight St. Bet. Columbia St. And Delevan st,0.031,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
MZ214,MZ214,M,12,Plaza Lafayette,,181 St & Haven St (1) East,181 St & Haven St (1) East,0.03,Greenstreet,Type 1,0,Rated as M061,,,,DOT,,,,,0,,,
BZ372,BZ372,B,16,GREENSTREET,,Dean St & East New York Ave & Sackman St,Dean St & East New York Ave & Sackman St,0.026,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
BZ494,BZ494,B,18,,,"Av T, Fillmore Av & E57 St","Av T, Fillmore Av & E57 St",0.063,Greenstreet,,0,,,,,DOT,,,,,0,,,
B509,B509,B,05,Jordan Magic Garden,,Belmont Ave. and Van Siclen Ave.,Belmont Ave. and Van Siclen Ave.,0.164,,,0,,,,,DPR,,,,,0,,,
Q099,Q099-ZN24,Q,15,Flushing Meadows Corona Park,,"Grand Central Pkwy, Van Wyck Exwy",(w) Meadow Lake To (e) Van Wyck Expwy To (n) Model To (s) Playground,14.266,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
BZ592,BZ592,B,18,Paedergat Basin,,Bergen Ave bet Ralph Ave & Ave K,Bergen Ave bet Ralph Ave & Ave K,0.743,Greenstreet,Type 2 Greenstreet,0,,,,,DOT,,,,,0,,,
RZ286,RZ286,R,03,GREENSTREET,,Richmond Valley Rd & Amboy Rd,Richmond Valley Rd & Amboy Rd,0.026,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
Q008,Q008,Q,13,Brookville Park,,"S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.","S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.",89.946,Large Park,Large Park,0,Rated as separate zones. Rate CS with X008-ZN03.,,,,DPR,,,,,0,,,
RZ061H,RZ061H,R,02,GREENSTREET,,Seaview And Simpson,Seaview And Simpson,0.049,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
QZ295,QZ295,Q,05,Greenstreet,,Grand Av & 58 Av ( East),Grand Av & 58 Av ( East),0.028,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X103,X103,X,01,People's Park,,E. 141 St. bet. Brook Ave. and St Ann's Ave.,E. 141 St. bet. Brook Ave. and St Ann's Ave.,1.394,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
Q012,Q012-ZN03,Q,07A,Crocheron Park,,"214 Pl., 214 La., 215 Pl, Cross Island Pkwy. bet. 33 Ave. and 35 Ave.","33rd Ave, Little Neck Blvd, 35th Ave, 216th St",23.804,Large Park,Large Park Zone,1,,,,,DPR,,,,,0,,,
Q337,Q337,Q,09,Maurice A FitzGerald Playground,,106 St. bet. Atlantic Ave. and 94 Ave.,106 St. bet. Atlantic Ave. and 94 Ave.,1.201,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,1,,,
M212,M212,M,01,The Queen Elizabeth II September 11th Garden,,"Hanover Sq., Pearl St. and Stone St.","Hanover Sq., Pearl St. and Stone St.",0.117,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
X195A,X195A,X,09,Colgate Close,,N/B Bruckner Blvd bet. Colgate Ave. and Close Ave.,N/B Bruckner Blvd bet. Colgate Ave. and Close Ave.,1.871,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
Q491,Q491,Q,01,Carlos R. Lillo Park,,"21 Ave., 20 Ave., bet. 76 St. and 77 St.","21 Ave., 20 Ave., bet. 76 St. and 77 St.",0.099,Small Park,Sitting Area/Triangle/Mall,1,,,,,DPR,,,,,0,,,
Q163,Q163-ZN05A,Q,14,Rockaway Beach Boardwalk,,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,B 73 To B 81 Sts,20.317,Large Park,Beach Zone,1,,,,,DPR,,,,,0,,,
XZ356,XZ356,X,10,GREENSTREET,,Lafayette Ave. And Hutch River Pkwy. Sr,Lafayette Ave. And Hutch River Pkwy. Sr,0.812,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
BT06,BT06,B,13,Cropsey Ave Home Depot,,"Shore Parkway, Cropsey Ave., Bay 54 St., W. 20 St.","Shore Parkway, Cropsey Ave., Bay 54 St., W. 20 St.",4.076,Other,REDEC,1,,,,,Private,,,,,0,,,
XS042,XS042,X,10,P.S. 72,,Dewey Ave. bet. Edison Ave. and Logan Ave.,Dewey Ave. bet. Edison Ave. and Logan Ave.,0.371,,Null,0,,,,,DOE,,,,,,,,
MZ320,MZ320,M,04,GREENSTREET,,9th Ave And W 23rd Street (south),9th Ave And W 23rd Street (south),0.002,Greenstreet,,0,,,,,DOT,,,,,0,,,
B073,B073-ZN03,B,19,Prospect Park,,"Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Park W, 3rd St., 7th St.",13.978,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
MZ29,MZ29,M,04,GREENSTREET,,9th Ave Between W. 16th St And W. 17th St,9th Ave Between W. 16th St And W. 17th St,0.023,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
QZ211,QZ211,Q,02,Greenstreet,,11 St Bet 44 Dr & 45 Av  south,11 St Bet 44 Dr & 45 Av  south,0.015,Greenstreet,Type 2,0,Just trees (type 2).,,,,DOT,,,,,0,,,
XZ353,XZ353,X,10,GREENSTREET,,Corner Bet. Givan And Hutchinson,Corner Bet. Givan And Hutchinson,0.03,Greenstreet,Type 1,1,,,,,DOT,,,,,0,,,
X092,X092-ZN21,X,13,Van Cortlandt Park,,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",East 233 St. To Major Deegan Expwy,97.094,Large Park,Flagship Park Zone,1,,,,,DPR,,,,,0,,,
X274,X274,X,05,Mount Hope Garden,,Creston Ave. bet. E. Burnside Ave. and E,Creston Ave. bet. E. Burnside Ave. and E,0.28,Small Park,Neighborhood Plgd,1,,,,,DPR,,,,,0,,,
QZ709,QZ709,Q,02,Greenstreet,,Queens Plaza South Bet 13 St & 12 St,Queens Plaza South Bet 13 St & 12 St,0.02,Greenstreet,,0,,,,,DOT,,,,,0,,,
QS039,QS039,Q,08,P.S. 131,,"83 Ave., 84 Ave., 170 St., 172 St.","83 Ave., 84 Ave., 170 St., 172 St.",0.553,,,0,,,,,DOE,,,,,0,,,
