,cd,boro,date,year,month,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,fs_openhours,fs_open,trs_permits,paper_baskets,mgp_baskets,total_number_of_households,hh_compost_num,hh_compost_percent,shape_area,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,bigbelly,seasonal_wire_litter_basket,highend_basket,publicspacereceptacle,wire_basket,total_litter_baskets
14,BK01,BK,2018-01-01,2018,1,5183.6,592.1,475.2,35.8,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
15,BK01,BK,2018-02-01,2018,2,4861.0,561.3,408.7,36.8,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
16,BK01,BK,2018-03-01,2018,3,5732.5,638.4,488.8,36.8,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
17,BK01,BK,2018-04-01,2018,4,4993.3,586.9,437.5,34.9,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
18,BK01,BK,2018-05-01,2018,5,5633.2,639.7,492.3,55.6,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
19,BK01,BK,2018-06-01,2018,6,5223.3,587.5,459.8,59.3,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
20,BK01,BK,2018-07-01,2018,7,4524.4,516.5,447.4,51.6,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
21,BK01,BK,2018-08-01,2018,8,4810.4,612.5,485.8,61.3,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
22,BK01,BK,2018-09-01,2018,9,5352.8,672.7,445.1,58.9,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
23,BK01,BK,2018-10-01,2018,10,5760.0,645.2,478.3,50.4,333.25,6.0,14.0,9.0,9.0,92610,9745,0.10522621747111544,0.0013070536057517652,1.0,3.0,3.0,1.0,0.0,2.0,1.0,10.0,14.0
